ua
Dalvik/2.1.0 (Linux; U; Android 12; SM-G781U Build/SP1A.210812.016)
"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36"
"Mozilla/5.0 (Linux; Android 12; SM-M515F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.6367.113 Mobile Safari/537.36 OPR/82.2.4342.79505"
"Mozilla/5.0 (iPhone; CPU iPhone OS 16_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 POPO popoversion_4.6.0 POPOLanguage/zh-CN POPOTheme/dark POPOFontSizeFactor/2 POPOHostType/1"
"Mozilla/5.0 (Linux; Android 14; V2307A Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/130.0.6723.107 Mobile Safari/537.36 os/android model/V2307A build/8110200 osVer/14 sdkInt/34 network/1 BiliApp/8110200 mobi_app/android channel/vivo_tv.danmaku.bili_20211108 Buvid/XXF8B4FF3C3B9F0BA832976B1C4B3E7A16315 sessionID/0f656d3a innerVer/8110210 c_locale/zh_CN s_locale/zh_CN disable_rcmd/0 themeId/2 sh/36"
"Mozilla/5.0 (Linux; arm_64; Android 11; Infinix X6816D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6478.44 YaBrowser/24.7.6.44.00 SA/3 Mobile Safari/537.36"
"Mozilla/5.0 (Linux; Android 14; V2244A Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/126.0.6478.188 Mobile Safari/537.36 XWEB/1260213 MMWEBSDK/20240801 MMWEBID/9986 MicroMessenger/8.0.51.2720(0x28003339) WeChat/arm64 Weixin NetType/5G Language/zh_CN ABI/arm64"
"Mozilla/5.0 (Linux; U; Android 12; zh-Hans-CN; LNA-AL00 Build/HUAWEILNA-AL00) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/100.0.4896.58 Quark/7.4.5.680 Mobile Safari/537.36"
Dalvik/2.1.0 (Linux; U; Android 8.1.0; GOODGRADES_P68S Build/OPM2.171019.012)
"Mozilla/5.0 (iPhone; CPU iPhone OS 16_7_10 like Mac OS X) AppleWebKit/615.8.1.10.1 (KHTML, like Gecko) Mobile/20H350 BiliApp/82200100 os/ios model/iPhone X mobi_app/iphone build/82200100 osVer/16.7.10 network/2 channel/AppStore Buvid/88f3b8bc1d046ac292f228d4ea4c042a c_locale/zh-Hans_CN s_locale/zh-Hans_CN sessionID/d1e1d9b6 disable_rcmd/0"
